,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
A1,2.515,0.984,0.921,3.326,0.457,0.191,5.0,12.0,3.18
A2,0.544,0.311,0.003,0.776,0.146,0.068,5.0,12.0,2.36
A3,1.969,1.79,0.005,4.964,0.876,0.436,4.0,12.0,4.31
A4,2.701,1.738,0.003,4.968,0.85,0.422,4.0,12.0,4.09
A5,2.664,0.958,0.916,3.908,0.438,0.188,5.0,14.0,2.43
A6,2.414,0.338,1.643,2.826,0.139,0.071,7.0,12.0,2.09
A7,2.738,1.569,1.301,4.964,0.707,0.182,6.0,12.0,2.06
SR3,0.759,0.181,0.459,0.999,0.088,0.045,5.0,12.0,3.49
SR4,0.803,0.063,0.682,0.87,0.03,0.013,5.0,13.0,2.77
SR5,0.477,0.113,0.393,0.742,0.046,0.035,5.0,12.0,2.49
SR6,0.653,0.037,0.605,0.714,0.016,0.008,5.0,15.0,2.23
SR7,0.513,0.11,0.328,0.63,0.047,0.015,6.0,13.0,2.44
c0,1.59,0.059,1.495,1.674,0.024,0.023,7.0,12.0,2.23
c1,-0.001,0.0,-0.001,-0.001,0.0,0.0,9.0,25.0,1.49
d0,1.369,0.051,1.284,1.417,0.024,0.014,5.0,12.0,3.59
d1,-0.0,0.0,-0.0,-0.0,0.0,0.0,5.0,12.0,2.27
dx1,0.599,0.002,0.597,0.602,0.001,0.0,6.0,12.0,2.27
gamma1,31.2,9.495,21.987,56.914,4.239,3.538,5.0,12.0,2.82
log_A1,0.812,0.513,-0.082,1.202,0.239,0.111,5.0,12.0,3.18
log_A2,-1.339,1.877,-5.891,-0.25,0.891,0.792,5.0,12.0,2.36
log_A3,-0.118,1.785,-5.084,1.603,0.828,0.742,4.0,12.0,4.31
log_A4,-0.343,2.847,-5.809,1.603,1.367,0.858,4.0,12.0,4.09
log_A5,0.89,0.468,-0.088,1.363,0.203,0.119,5.0,14.0,2.43
log_A6,0.871,0.15,0.557,1.089,0.062,0.037,7.0,12.0,2.09
log_A7,0.838,0.581,0.263,1.602,0.263,0.051,6.0,12.0,2.05
mu1,589.157,0.0,589.156,589.157,0.0,0.0,5.0,13.0,3.09
mu2,589.159,0.001,589.157,589.16,0.001,0.0,5.0,11.0,2.66
mu3,589.116,0.001,589.114,589.117,0.001,0.0,5.0,13.0,2.97
mu4,589.128,0.001,589.126,589.129,0.0,0.0,5.0,12.0,2.45
mu5,588.997,0.002,588.994,589.0,0.001,0.0,5.0,56.0,2.62
mu6,589.04,0.002,589.037,589.041,0.001,0.0,5.0,25.0,2.42
mu7,589.098,0.003,589.093,589.1,0.001,0.001,5.0,25.0,2.54
sigma1,12.656,5.28,4.261,19.444,2.336,1.093,5.0,12.0,2.94
sigma2,31.912,10.664,5.027,40.0,5.106,4.478,5.0,13.0,3.51
sigma3,2.389,0.562,1.491,2.997,0.275,0.124,4.0,12.0,4.01
sigma4,2.74,0.418,1.818,3.0,0.203,0.135,5.0,14.0,3.34
sigma5,6.214,0.234,5.765,6.525,0.09,0.067,9.0,13.0,1.63
sigma6,6.487,0.702,5.595,7.781,0.331,0.118,5.0,14.0,2.62
sigma7,4.707,1.009,2.881,6.099,0.48,0.214,5.0,12.0,2.86
